LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 3d WCA system, random initial configuration

#variable density equal 0.5
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.01
variable tau equal 100*${dt}
variable tau equal 100*0.01
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.01
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       3

lattice         fcc ${density}
lattice         fcc 1.1
Lattice spacing in x,y,z = 1.5377619 1.5377619 1.5377619
region          box block 0 8 0 8 0 8
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 0) to (12.302095 12.302095 12.302095)
  2 by 1 by 2 MPI processor grid
create_atoms    1 box
Created 2048 atoms
  using lattice units in orthogonal box = (0 0 0) to (12.302095 12.302095 12.302095)
  create_atoms CPU = 0.000 seconds
mass 1 1.0

velocity all create ${initial_temperature} 12345
velocity all create 3 12345

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.01
thermo ${thermo_time}
thermo 500

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 1
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 19 19 19
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.099 | 3.099 | 3.099 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   3              0              0              4.4978027      3.2983887    
       500   3.1104935      2.5681456      0              7.2316077      37.110744    
      1000   2.9614322      2.5119943      0              6.9519736      36.688992    
      1500   3.0316896      2.3178232      0              6.8631371      35.049439    
      2000   2.933008       2.43886        0              6.8362237      35.677171    
      2500   2.996589       2.4115341      0              6.9042228      35.595056    
      3000   2.9885645      2.4832246      0              6.9638824      36.289643    
      3500   2.9204132      2.3569644      0              6.7354452      34.804557    
      4000   2.9792901      2.5207237      0              6.9874768      36.748555    
      4500   2.978179       2.5378828      0              7.00297        36.758414    
      5000   3.0195206      2.5331357      0              7.060205       36.751638    
      5500   3.0417356      2.4595776      0              7.0199531      36.125295    
      6000   3.0262295      2.4410085      0              6.9781363      35.794152    
      6500   3.0245688      2.4399781      0              6.9746159      35.883152    
      7000   2.9979252      2.4509873      0              6.9456793      36.016793    
      7500   3.0288048      2.4665125      0              7.0075013      36.383961    
      8000   2.9415554      2.3940947      0              6.8042734      35.404212    
      8500   3.0266627      2.5019686      0              7.0397458      36.356929    
      9000   2.940265       2.3496706      0              6.7579146      34.919906    
      9500   2.9997798      2.4780516      0              6.9755242      36.099869    
     10000   2.9933145      2.4482656      0              6.9360449      36.156361    
     10500   2.9481503      2.5998412      0              7.0199074      36.819952    
     11000   3.1250678      2.6167158      0              7.3020287      37.755437    
     11500   3.0186406      2.4237469      0              6.9494968      35.871913    
     12000   3.0754626      2.5032625      0              7.1142039      36.526015    
     12500   2.9783793      2.4572903      0              6.9226778      35.954002    
     13000   3.1220467      2.4647462      0              7.1455296      36.2864      
     13500   2.9889843      2.4728595      0              6.9541468      36.129033    
     14000   3.0985659      2.4586544      0              7.1042338      36.168425    
     14500   2.9983262      2.3955043      0              6.8907977      35.583959    
     15000   2.9844338      2.3886927      0              6.8631575      35.043432    
     15500   3.1047564      2.3037638      0              6.9586245      34.960403    
     16000   2.9782057      2.4207821      0              6.8859094      35.621384    
     16500   2.9785706      2.542306       0              7.0079804      36.609889    
     17000   2.9561152      2.5198931      0              6.9519007      36.518316    
     17500   2.9119058      2.5085214      0              6.8742475      36.25259     
     18000   3.043701       2.3916914      0              6.9550136      35.396494    
     18500   3.0078143      2.4150558      0              6.9245743      35.90105     
     19000   2.9588204      2.4310091      0              6.8670726      35.610366    
     19500   2.9445377      2.5739486      0              6.9885986      37.075772    
